device_name,timestamp_ms,value,datetime,year,month
PSP,1262322000000,896274,2010-01-01 05:00:00,2010,1
PSP,1265000400000,564118,2010-02-01 05:00:00,2010,2
PSP,1267419600000,716428,2010-03-01 05:00:00,2010,3
PSP,1270094400000,485877,2010-04-01 04:00:00,2010,4
PSP,1272686400000,450947,2010-05-01 04:00:00,2010,5
PSP,1275364800000,622971,2010-06-01 04:00:00,2010,6
PSP,1277956800000,519829,2010-07-01 04:00:00,2010,7
PSP,1280635200000,507415,2010-08-01 04:00:00,2010,8
PSP,1283313600000,633698,2010-09-01 04:00:00,2010,9
PSP,1285905600000,483099,2010-10-01 04:00:00,2010,10
PSP,1288584000000,883240,2010-11-01 04:00:00,2010,11
PSP,1291179600000,2389030,2010-12-01 05:00:00,2010,12
PSP,1293858000000,639144,2011-01-01 05:00:00,2011,1
PSP,1296536400000,615656,2011-02-01 05:00:00,2011,2
PSP,1298955600000,694541,2011-03-01 05:00:00,2011,3
PSP,1301630400000,515839,2011-04-01 04:00:00,2011,4
PSP,1304222400000,538592,2011-05-01 04:00:00,2011,5
PSP,1306900800000,613579,2011-06-01 04:00:00,2011,6
PSP,1309492800000,483792,2011-07-01 04:00:00,2011,7
PSP,1312171200000,495288,2011-08-01 04:00:00,2011,8
PSP,1314849600000,505314,2011-09-01 04:00:00,2011,9
PSP,1317441600000,423685,2011-10-01 04:00:00,2011,10
PSP,1320120000000,632307,2011-11-01 04:00:00,2011,11
PSP,1322715600000,1360966,2011-12-01 05:00:00,2011,12
PSP,1325394000000,479955,2012-01-01 05:00:00,2012,1
PSP,1328072400000,347788,2012-02-01 05:00:00,2012,2
PSP,1330578000000,387495,2012-03-01 05:00:00,2012,3
PSP,1333252800000,275755,2012-04-01 04:00:00,2012,4
PSP,1335844800000,241881,2012-05-01 04:00:00,2012,5
PSP,1338523200000,272961,2012-06-01 04:00:00,2012,6
PSP,1341115200000,229711,2012-07-01 04:00:00,2012,7
PSP,1343793600000,216156,2012-08-01 04:00:00,2012,8
PSP,1346472000000,259312,2012-09-01 04:00:00,2012,9
PSP,1349064000000,217900,2012-10-01 04:00:00,2012,10
PSP,1351742400000,372092,2012-11-01 04:00:00,2012,11
PSP,1354338000000,927717,2012-12-01 05:00:00,2012,12
PSP,1357016400000,448328,2013-01-01 05:00:00,2013,1
PSP,1359694800000,219503,2013-02-01 05:00:00,2013,2
PSP,1362114000000,251037,2013-03-01 05:00:00,2013,3
PSP,1364788800000,162130,2013-04-01 04:00:00,2013,4
PSP,1367380800000,150373,2013-05-01 04:00:00,2013,5
PSP,1370059200000,186673,2013-06-01 04:00:00,2013,6
PSP,1372651200000,142039,2013-07-01 04:00:00,2013,7
PSP,1375329600000,141161,2013-08-01 04:00:00,2013,8
PSP,1378008000000,153390,2013-09-01 04:00:00,2013,9
PSP,1380600000000,116433,2013-10-01 04:00:00,2013,10
PSP,1383278400000,346110,2013-11-01 04:00:00,2013,11
PSP,1385874000000,653295,2013-12-01 05:00:00,2013,12
PSP,1388552400000,154076,2014-01-01 05:00:00,2014,1
PSP,1391230800000,93851,2014-02-01 05:00:00,2014,2
PSP,1393650000000,93603,2014-03-01 05:00:00,2014,3
PSP,1396324800000,56283,2014-04-01 04:00:00,2014,4
PSP,1398916800000,47800,2014-05-01 04:00:00,2014,5
PSP,1401595200000,77414,2014-06-01 04:00:00,2014,6
PSP,1404187200000,29333,2014-07-01 04:00:00,2014,7
PSP,1406865600000,22080,2014-08-01 04:00:00,2014,8
Wii,1162357200000,529658,2006-11-01 05:00:00,2006,11
Wii,1164949200000,2425123,2006-12-01 05:00:00,2006,12
Wii,1167627600000,1052368,2007-01-01 05:00:00,2007,1
Wii,1170306000000,901683,2007-02-01 05:00:00,2007,2
Wii,1172725200000,929224,2007-03-01 05:00:00,2007,3
Wii,1175400000000,928230,2007-04-01 04:00:00,2007,4
Wii,1177992000000,1003935,2007-05-01 04:00:00,2007,5
Wii,1180670400000,1275529,2007-06-01 04:00:00,2007,6
Wii,1183262400000,1123679,2007-07-01 04:00:00,2007,7
Wii,1185940800000,1082921,2007-08-01 04:00:00,2007,8
Wii,1188619200000,1174282,2007-09-01 04:00:00,2007,9
Wii,1191211200000,1053054,2007-10-01 04:00:00,2007,10
Wii,1193889600000,1713088,2007-11-01 04:00:00,2007,11
Wii,1196485200000,4315296,2007-12-01 05:00:00,2007,12
Wii,1199163600000,1474441,2008-01-01 05:00:00,2008,1
Wii,1201842000000,1214433,2008-02-01 05:00:00,2008,2
Wii,1204347600000,1635765,2008-03-01 05:00:00,2008,3
Wii,1207022400000,1657003,2008-04-01 04:00:00,2008,4
Wii,1209614400000,1610925,2008-05-01 04:00:00,2008,5
Wii,1212292800000,1811899,2008-06-01 04:00:00,2008,6
Wii,1214884800000,1344880,2008-07-01 04:00:00,2008,7
Wii,1217563200000,1195319,2008-08-01 04:00:00,2008,8
Wii,1220241600000,1448630,2008-09-01 04:00:00,2008,9
Wii,1222833600000,1603421,2008-10-01 04:00:00,2008,10
Wii,1225512000000,3417137,2008-11-01 04:00:00,2008,11
Wii,1228107600000,5673205,2008-12-01 05:00:00,2008,12
