title,like_amount,comment_amount,published_date,article_url
《RO 仙境傳說：新世代的誕生》上市將滿一週年 曝光週年慶演唱會嘉賓陣容,3,11,2021-10-08T11:51:05+08:00,https://gnn.gamer.com.tw/detail.php?sn=222149
MMORPG《仙境傳說 ORIGIN》於美國等地區開放雙平台預先註冊,15,90,2021-10-05T18:19:46+08:00,https://gnn.gamer.com.tw/detail.php?sn=222023
女性向文字冒險遊戲《Happy KuzUtopia》今日展開事前登錄 釋出角色聲優、故事、系統,7,0,2021-09-07T18:18:49+08:00,https://gnn.gamer.com.tw/detail.php?sn=220637
《RO》系列 PC 線上遊戲新作《仙境傳說：起始》今日起在韓國展開封測,37,224,2021-09-01T20:00:24+08:00,https://gnn.gamer.com.tw/detail.php?sn=220391
《RO 仙境傳說：守護永恆的愛》x《迪士尼》推出系列期間限定活動及新職業「神槍手」,4,10,2021-08-24T18:13:25+08:00,https://gnn.gamer.com.tw/detail.php?sn=219938
《仙境傳說 ORIGIN》日版預告實施大型更新 追加二轉職業武僧、武術宗師,8,35,2021-08-16T18:09:36+08:00,https://gnn.gamer.com.tw/detail.php?sn=219553
《RO 仙境傳說：普隆德拉迷宮》事前預約進行中 預計 8 月正式在台上市,19,94,2021-07-29T14:06:41+08:00,https://gnn.gamer.com.tw/detail.php?sn=218690
《RO 仙境傳說：新世代的誕生》三轉職業正式上線 釋出六大職業特色與介紹,14,98,2021-07-26T17:55:37+08:00,https://gnn.gamer.com.tw/detail.php?sn=218564
《仙境傳說：失落的回憶》於泰國等地區啟動封閉內部測試 展開全新篇章冒險旅程,9,121,2021-07-22T12:37:28+08:00,https://gnn.gamer.com.tw/detail.php?sn=218391
繼承《仙境傳說 Online》DNA 最新作《仙境傳說 ORIGIN》今日於日本展開服務,28,172,2021-06-28T11:23:07+08:00,https://gnn.gamer.com.tw/detail.php?sn=217186
《仙境傳說 ORIGIN》日版將邀請「Nijisanji」旗下 Vtuber 舉辦直播活動,16,23,2021-06-18T12:41:59+08:00,https://gnn.gamer.com.tw/detail.php?sn=216768
《RO》系列重啟之作《仙境傳說 ORIGIN》專訪 介紹推出時遊戲內容與改版方向,26,182,2021-05-29T10:30:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=215747
《仙境傳說 ORIGIN》宣布 6 月 28 日將於日本推出 現已開放雙平台事前登錄,31,105,2021-05-19T12:55:23+08:00,https://gnn.gamer.com.tw/detail.php?sn=215172
《RO 仙境傳說 Online》2021 RTC 採用 EP17.1 版本 即日起開放報名,4,14,2021-05-06T18:38:41+08:00,https://gnn.gamer.com.tw/detail.php?sn=214615
【試玩】《仙境傳說 ORIGIN》先行體驗 無論單人或多人都能享受濃厚冒險元素,95,193,2021-04-28T17:00:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=214268
《仙境傳說 ORIGIN》日版開放先行體驗活動至 4 月 22 日 共計兩萬名玩家可參與,15,55,2021-04-16T10:34:21+08:00,https://gnn.gamer.com.tw/detail.php?sn=213679
《RO 仙境傳說：新世代的誕生》古城版本上線 克雷斯特漢姆古城暗夜新篇章即將開啟,9,48,2021-04-15T11:49:22+08:00,https://gnn.gamer.com.tw/detail.php?sn=213606
《仙境傳說 ORIGIN》釋出登場角色及悠木碧等聲優情報 同步公開「普隆德拉」等城市,20,60,2021-03-18T14:34:31+08:00,https://gnn.gamer.com.tw/detail.php?sn=212235
《RO 仙境傳說：守護永恆的愛》2.0 版本「輝煌領域」更新釋出 同步推出新職業「忍者」,8,78,2021-03-15T12:34:28+08:00,https://gnn.gamer.com.tw/detail.php?sn=212029
《仙境傳說 ORIGIN》於日本開設官方網站並釋出預告影片 揭露世界觀、職業等要素,43,156,2021-03-08T16:53:12+08:00,https://gnn.gamer.com.tw/detail.php?sn=211712
《仙境傳說》IP 衍生作品動向公開 《仙境傳說 ORIGIN》日版將於 2021 年上半推出,16,108,2021-02-19T12:23:07+08:00,https://gnn.gamer.com.tw/detail.php?sn=210848
《RO 仙境傳說：守護永恆的愛》x《秀逗魔導士 Premium》聯名活動啟動,20,54,2021-02-10T02:28:44+08:00,https://gnn.gamer.com.tw/detail.php?sn=210620
《RO 仙境傳說 Online》《RO 仙境傳說：守護永恆的愛》等作新年活動開跑 伴玩家迎新春,3,2,2021-02-08T14:21:57+08:00,https://gnn.gamer.com.tw/detail.php?sn=210539
《RO 仙境傳說：新世代的誕生》新春版本更新情報 春節限時活動與結婚系統將上線,26,59,2021-02-08T12:58:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=210532
《RO 仙境傳說：新世代的誕生》「Google Play 大挑戰」直播活動順利落幕,1,4,2021-02-01T17:13:13+08:00,https://gnn.gamer.com.tw/detail.php?sn=210171
《RO 仙境傳說：新世代的誕生》2021 年首波改版釋出 公會戰、影裝系統等登場,8,76,2021-01-19T15:39:26+08:00,https://gnn.gamer.com.tw/detail.php?sn=209478
《RO 仙境傳說 Spear of Odin》於東南亞推出 強調動作遊戲玩法的戰鬥樂趣,10,92,2020-12-22T17:28:36+08:00,https://gnn.gamer.com.tw/detail.php?sn=208303
《RO 仙境傳說：新世代的誕生》聖誕大作戰節日玩法限時開啟 聖誕時裝、坐騎亮相,7,70,2020-12-21T16:19:38+08:00,https://gnn.gamer.com.tw/detail.php?sn=208233
