title,like_amount,comment_amount,published_date,article_url
《RO 仙境傳說：愛如初見》釋出六大派系職業介紹 在米德加爾特大陸展開全新冒險旅程,49,121,2022-06-23T15:21:19+08:00,https://gnn.gamer.com.tw/detail.php?sn=233673
《RO 仙境傳說》20 週年最新正統續作《RO 仙境傳說：愛如初見》開放事前登錄,66,541,2022-06-15T12:14:38+08:00,https://gnn.gamer.com.tw/detail.php?sn=233269
《仙境傳說 RO》系列 IP 新作《仙境傳說：女武神之起義》於大洋洲地區上市,36,111,2022-06-10T18:29:14+08:00,https://gnn.gamer.com.tw/detail.php?sn=233099
GungHo 於財報中透露《仙境傳說 ORIGIN》今年下半年將於台港澳推出,32,164,2022-05-16T15:00:44+08:00,https://gnn.gamer.com.tw/detail.php?sn=231883
《RO 仙境傳說 Online》IP 改編新作《RO 仙境傳說：魔物遠征》雙平台同步上線,45,261,2022-05-11T14:54:19+08:00,https://gnn.gamer.com.tw/detail.php?sn=231674
《仙境傳說 ORIGIN》推出新地圖「克魔島」及「吟遊詩人」「舞孃」等新職業,9,13,2022-04-27T18:32:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=231138
《RO 仙境傳說：新世代的誕生》全新二轉職業武道家、十字軍聯袂上陣,7,5,2022-04-26T17:58:12+08:00,https://gnn.gamer.com.tw/detail.php?sn=231080
《仙境傳說 ORIGIN》日版將實施大型更新「EXPANSION：夢幻演舞」 弓箭手進階職業登場,9,14,2022-04-18T16:16:36+08:00,https://gnn.gamer.com.tw/detail.php?sn=230714
《RO 仙境傳說：新世代的誕生》x「多力多滋」聯動企劃登場 二轉分支新職業開放預約,4,12,2022-04-15T18:07:57+08:00,https://gnn.gamer.com.tw/detail.php?sn=230649
《RO 仙境傳說：魔物遠征》事前預約開跑 同步釋出多項活動獎勵,9,45,2022-04-06T16:52:58+08:00,https://gnn.gamer.com.tw/detail.php?sn=230167
加入 P2E 要素《RO 仙境傳說：普隆德拉迷宮 NFT》於東南亞等地展開事前登錄,4,27,2022-03-22T11:54:42+08:00,https://gnn.gamer.com.tw/detail.php?sn=229432
《RO 仙境傳說 Online》推出重要改版 轉職系統開放 13 種職業四轉,10,36,2022-03-22T19:37:10+08:00,https://gnn.gamer.com.tw/detail.php?sn=229487
《RO 仙境傳說：守護永恆的愛》推出全新版本「七王室之謎」 新職業「悟靈士」亮相,9,7,2022-03-08T18:16:05+08:00,https://gnn.gamer.com.tw/detail.php?sn=228839
《RO 仙境傳說：新世代的誕生》克魔島全新開放 半龍人來襲、不夜城即將殞毀？,4,13,2022-02-24T16:15:35+08:00,https://gnn.gamer.com.tw/detail.php?sn=228362
《仙境傳說 ORIGIN》日版「EXPANSION：戰地鳴動」更新 將追加新職業煉金術士與創造者,7,13,2022-02-10T16:58:13+08:00,https://gnn.gamer.com.tw/detail.php?sn=227780
《RO 仙境傳說：新世代的誕生》舉辦「ROX 喜迎新年」新春特別活動 MVP 年獸來襲回歸,5,8,2022-01-27T17:36:48+08:00,https://gnn.gamer.com.tw/detail.php?sn=227402
【TpGS 22】《RO 仙境傳說：魔物遠征》電玩展搶先體驗 獨特新玩法提升遊戲樂趣,8,25,2022-01-24T14:15:21+08:00,https://gnn.gamer.com.tw/detail.php?sn=227162
【TpGS 22】《RO 仙境傳說》於台北電玩展登場 以 20 週年為主題舉辦線上線下雙軌活動,15,19,2022-01-22T19:07:15+08:00,https://gnn.gamer.com.tw/detail.php?sn=227133
【TpGS 22】仙境傳說新作《Ragnarok：The Lost Memories》中文實機試玩影片搶先看,12,46,2022-01-22T17:50:29+08:00,https://gnn.gamer.com.tw/detail.php?sn=227130
【TpGS 22】格雷維蒂互動預告曝光《RO:ORIGIN》《RO 仙境傳說：魔物遠征》等新作,8,32,2022-01-19T18:26:32+08:00,https://gnn.gamer.com.tw/detail.php?sn=226910
放置卡牌遊戲《RO 仙境傳說：魔物遠征》菁英封測即將啟動 釋出測試期間活動及福利,16,61,2022-01-18T18:30:59+08:00,https://gnn.gamer.com.tw/detail.php?sn=226835
