title,like_amount,comment_amount,published_date,article_url
鴿子的元宇宙《Hatoverse》在日本推出 體驗化身鴿子的奇妙世界,20,34,2022-04-07T18:36:24+08:00,https://gnn.gamer.com.tw/detail.php?sn=230267
Devsisters 首次線上發表會  DevNow 4 月 14 日全球登場 將帶來多項新作介紹及 IP 計畫,9,1,2022-04-06T18:50:34+08:00,https://gnn.gamer.com.tw/detail.php?sn=230192
《太閤立志傳 V DX》介紹遊戲內容與新追加要素的 PV 正式公開,30,56,2022-03-10T23:41:22+08:00,https://gnn.gamer.com.tw/detail.php?sn=228982
《Golden Bros》揭曉全新遊戲預告片 將推出「GB 珍妮佛神秘箱子」預售,2,0,2022-03-04T15:20:51+08:00,https://gnn.gamer.com.tw/detail.php?sn=228698
NEXON 公開最新開發專案「FACEPLAY」 運用視訊輕鬆享受派對遊戲樂趣！,3,1,2022-02-10T16:03:14+08:00,https://gnn.gamer.com.tw/detail.php?sn=227774
《阿凡達 2》改編 MMO 新作《Avatar：Reckoning》曝光 預定 2022 年推出,9,85,2022-01-14T14:51:39+08:00,https://gnn.gamer.com.tw/detail.php?sn=226686
【電玩瘋】 2022 年十大期待手機遊戲出爐 《貓娘樂園來店》《瑪奇 Mobile》等作入列,64,40,2022-01-12T12:00:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=226555
AMD 今晚舉辦線上新品發表會 將揭露 Ryzen 處理器、Radeon 顯示卡等新消息,17,29,2022-01-04T18:49:30+08:00,https://gnn.gamer.com.tw/detail.php?sn=226264
《TRAHA》衍生新作《TRAHA INFINITY》曝光 預計 2022 年上半於韓國推出,2,2,2021-12-23T15:40:02+08:00,https://gnn.gamer.com.tw/detail.php?sn=225844
NEOWIZ 預計於 2022 年初推出 P2E 遊戲《Crypto Golf Impact》《棕色塵埃》,13,42,2021-12-10T18:27:13+08:00,https://gnn.gamer.com.tw/detail.php?sn=225264
PvP MOBA 區塊鏈新作《Thetan Arena》推出 提供全新「邊玩邊賺」系統,9,73,2021-11-30T12:39:27+08:00,https://gnn.gamer.com.tw/detail.php?sn=224678
具極簡抽象風的 RPG 新作《RP7》釋出遊玩影片 預計 2022 年問世,9,1,2021-11-16T18:49:58+08:00,https://gnn.gamer.com.tw/detail.php?sn=224038
《魔靈召喚：克羅尼柯戰記》預計 2022 年第一季推出 釋出最新宣傳影片,8,12,2021-11-15T19:11:49+08:00,https://gnn.gamer.com.tw/detail.php?sn=223982
樂團敘事遊戲《We are OFK》預計 2022 推出 描繪 4 位好友在音樂生活上的點點滴滴,8,2,2021-10-28T11:23:50+08:00,https://gnn.gamer.com.tw/detail.php?sn=223067
《DJMax Respect V》將推出「NEXON DLC」 今起釋出《天翼之鍊》等合作預告影片,13,44,2021-10-25T19:18:40+08:00,https://gnn.gamer.com.tw/detail.php?sn=222941
恐怖遊戲《霧雨飄零之森》將推出重製版 預計 2022 年問世,15,8,2021-10-12T17:59:27+08:00,https://gnn.gamer.com.tw/detail.php?sn=222285
【TGS 21】影之刃系列新作《影之刃：斷罪者》正式亮相 預計 2022 年上半推出,27,36,2021-10-04T10:40:45+08:00,https://gnn.gamer.com.tw/detail.php?sn=221932
融入劇情導向與音樂雷射光戰鬥新作《奇妙逃脫》正式推出,6,1,2021-09-10T17:01:39+08:00,https://gnn.gamer.com.tw/detail.php?sn=220835
主打讓玩家「反思」的冒險遊戲《突波旅行者：宇宙之間》預計 2022 年推出,2,1,2021-09-02T18:50:54+08:00,https://gnn.gamer.com.tw/detail.php?sn=220447
冒險遊戲《烽火松林》預計 2022 年問世 尋找文字以改變故事走向,4,2,2021-09-01T17:49:23+08:00,https://gnn.gamer.com.tw/detail.php?sn=220363
《巴托菈：失落的避風港》預計 2022 年推出 跟著主角展開宇宙之旅、拯救地球！,7,0,2021-08-30T19:59:50+08:00,https://gnn.gamer.com.tw/detail.php?sn=220267
【電玩瘋】手機遊戲週報《瑪奇 Mobile》《天翼之鍊 M》與《龍與少女交響曲》,18,20,2021-08-07T20:00:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=219198
《天翼之鍊 M》公開最新影片 強調將滿足粉絲情懷並增添新遊戲性,114,216,2021-08-05T13:38:53+08:00,https://gnn.gamer.com.tw/detail.php?sn=219041
