title,like_amount,comment_amount,published_date,article_url
《Talesweaver》再次進軍台灣市場 命名《新天翼之鍊》,1,404,2013-11-01T20:03:22+08:00,https://gnn.gamer.com.tw/detail.php?sn=87997
《植物大戰殭屍安卓繁中版》進軍台灣市場　結合《西遊記》場景關卡,-1,39,2013-09-27T19:45:42+08:00,https://gnn.gamer.com.tw/detail.php?sn=86371
SOFTMAX 公開手機 RPG《Inner World》的系統介紹與遊玩影片,-1,32,2013-07-17T18:00:00+08:00,https://gnn.gamer.com.tw/detail.php?sn=83106
《三國之天 Online》菁英測試 15 日展開 八大職業登場,-1,40,2012-11-14T18:51:09+08:00,https://gnn.gamer.com.tw/detail.php?sn=73250
「諮安科技 / 玩咖互動」宣布更名為「九禾遊戲」 推出 NINE BUDDY VIP 會員方案,-1,0,2012-10-29T17:44:06+08:00,https://gnn.gamer.com.tw/detail.php?sn=72548
WebZen 進軍行動通訊市場！手機遊戲《Mu the Genesis》明年上市,-1,0,2012-10-17T18:48:59+08:00,https://gnn.gamer.com.tw/detail.php?sn=72070
會活動成長的都市 《模擬城市》再出發！,-1,23,2012-06-27T20:13:24+08:00,https://gnn.gamer.com.tw/detail.php?sn=67524
韓國 Pllea 首款自製網頁遊戲《衝吧！機器人》即將進軍台灣市場,-1,27,2012-06-20T17:25:51+08:00,https://gnn.gamer.com.tw/detail.php?sn=67197
大明時代武俠網頁遊戲《飛龍在天 Online》11 日展開菁英測試,-1,7,2012-06-08T21:18:31+08:00,https://gnn.gamer.com.tw/detail.php?sn=66776
《甜蜜契約》菁英測試 4 月 26 日展開 遊戲副本資訊釋出,-1,9,2012-04-18T17:27:14+08:00,https://gnn.gamer.com.tw/detail.php?sn=64699
《Dark Blood》正式定名為《達克 布拉德》菁英測試 15 日即將展開,-1,133,2012-03-09T18:45:57+08:00,https://gnn.gamer.com.tw/detail.php?sn=63256
惡搞童話再出發《3D 小紅帽 2：團結力量大》今年 5 月登台,-1,4,2012-03-08T18:46:38+08:00,https://gnn.gamer.com.tw/detail.php?sn=63186
《HEROES IN THE SKY》進軍台灣市場！感受空戰射擊樂趣,-1,37,2011-03-16T17:56:45+08:00,https://gnn.gamer.com.tw/detail.php?sn=51812
結合歌曲自編系統與高自由度 《愛舞炫》宣布進軍台灣市場,-1,43,2009-07-24T13:52:29+08:00,https://gnn.gamer.com.tw/detail.php?sn=38227
《天堂》底比斯遺失的記憶「神諭耳環」與「冥府之鍊」現身,0,6,2009-05-18T21:10:14+08:00,https://gnn.gamer.com.tw/detail.php?sn=36857
歐洲顯示卡品牌 Point of View 宣佈正式進軍台灣市場,-1,8,2008-04-30T17:20:00+08:00,https://gnn.gamer.com.tw/detail.php?sn=30254
《天翼之鍊》原著作家全民熙專訪  《天翼》可能增加新主角?!,0,1,2007-07-14T23:56:45+08:00,https://gnn.gamer.com.tw/detail.php?sn=27268
《天翼之鍊》小說「符文之子」作者全民熙 14 日訪台,0,0,2007-07-09T18:09:27+08:00,https://gnn.gamer.com.tw/detail.php?sn=27216
《天翼之鍊》商城今日試賣 料理鼠王任務闖關抽好康,0,0,2007-07-03T11:58:52+08:00,https://gnn.gamer.com.tw/detail.php?sn=27149
想了解《天翼之鍊》動人故事?  奇幻原作「符文之子」告訴你,0,0,2007-07-02T14:51:23+08:00,https://gnn.gamer.com.tw/detail.php?sn=27138
《天翼之鍊》6 月 25 日公測上場  第一章劇情完整體驗,0,0,2007-06-12T18:37:20+08:00,https://gnn.gamer.com.tw/detail.php?sn=26944
《天翼之鍊》5 月 22 日封測登場 巴哈姆特 18 日起發送體驗帳號,0,0,2007-05-16T17:07:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=26674
遊戲橘子正式宣布代理《天翼之鍊》 封測活動 5 月展開,0,0,2007-04-20T15:48:56+08:00,https://gnn.gamer.com.tw/detail.php?sn=26436
《天翼之鍊》「3.47 命運之眼」新版 11 月 1 日登場,0,0,2005-10-26T19:24:55+08:00,https://gnn.gamer.com.tw/detail.php?sn=21613
《天翼之鍊》野蠻奇寵玩色上線,0,0,2004-11-10T19:25:59+08:00,https://gnn.gamer.com.tw/detail.php?sn=17647
《天翼之鍊》V 2.46 全新改版 6 月 30 日登場,0,0,2004-06-30T13:49:17+08:00,https://gnn.gamer.com.tw/detail.php?sn=15644
《天翼之鍊》紀念銀飾限量放送,0,0,2004-03-31T19:57:12+08:00,https://gnn.gamer.com.tw/detail.php?sn=14355
「天翼之鍊」新版上市諸多好康一起放,0,0,2003-12-19T21:00:40+08:00,https://gnn.gamer.com.tw/detail.php?sn=13106
「天翼之鍊」資訊月邀玩家一起來見證婚禮,0,0,2003-12-06T19:06:31+08:00,https://gnn.gamer.com.tw/detail.php?sn=12868
資訊展首見「天翼之鍊2.21版」,0,0,2003-11-30T19:19:04+08:00,https://gnn.gamer.com.tw/detail.php?sn=12750
資訊月天翼之鍊好康先看,0,0,2003-11-25T20:37:29+08:00,https://gnn.gamer.com.tw/detail.php?sn=12644
「天翼之鍊」座談會圓滿落幕,0,0,2003-11-20T21:28:17+08:00,https://gnn.gamer.com.tw/detail.php?sn=12588
「天翼之鍊」網咖配合活動開始,0,0,2003-11-14T20:56:22+08:00,https://gnn.gamer.com.tw/detail.php?sn=12514
你不可不知的「天翼之鍊」(上),0,0,2003-10-25T01:21:28+08:00,https://gnn.gamer.com.tw/detail.php?sn=12148
你不可不知的「天翼之鍊」(下),0,0,2003-10-25T01:18:57+08:00,https://gnn.gamer.com.tw/detail.php?sn=12147
「天翼之鍊」公開延期收費內幕原因,0,0,2003-10-22T22:00:42+08:00,https://gnn.gamer.com.tw/detail.php?sn=12096
JOLIN為「天翼之鍊」披婚紗代言,0,0,2003-10-17T22:06:19+08:00,https://gnn.gamer.com.tw/detail.php?sn=12033
「天翼之鍊」推出三大利多邀玩家共享,0,0,2003-10-03T17:35:31+08:00,https://gnn.gamer.com.tw/detail.php?sn=11787
「天翼之鍊」點燃原著小說熱賣風潮,0,0,2003-09-30T22:36:46+08:00,https://gnn.gamer.com.tw/detail.php?sn=11717
天翼之鍊請高祖寧幫你心測,0,0,2003-09-15T23:21:18+08:00,https://gnn.gamer.com.tw/detail.php?sn=11477
「天翼之鍊」追加一台伺服器,0,0,2003-09-10T21:11:22+08:00,https://gnn.gamer.com.tw/detail.php?sn=11449
「天翼之鍊」要你救救唐先生,0,0,2003-09-08T21:32:13+08:00,https://gnn.gamer.com.tw/detail.php?sn=11364
「天翼之鍊」2萬名測試名額再追加,0,0,2003-08-26T20:52:10+08:00,https://gnn.gamer.com.tw/detail.php?sn=11172
「天翼之鍊」網咖教學拿帳號,0,0,2003-08-25T23:39:39+08:00,https://gnn.gamer.com.tw/detail.php?sn=11150
「天翼」、「神領」兩大OLG重要情報,0,0,2003-08-12T21:40:09+08:00,https://gnn.gamer.com.tw/detail.php?sn=10904
「天翼之鍊」韓版搶先試玩,0,0,2003-07-11T19:38:06+08:00,https://gnn.gamer.com.tw/detail.php?sn=10412
「TALES WEAVER」天翼之鍊任翱翔,0,0,2003-06-30T21:31:16+08:00,https://gnn.gamer.com.tw/detail.php?sn=10183
「TW」中文命名活動總決選,0,0,2003-06-20T20:06:15+08:00,https://gnn.gamer.com.tw/detail.php?sn=10048
「Tales Weaver」玩家中文命名免費玩一年,0,0,2003-06-11T10:57:31+08:00,https://gnn.gamer.com.tw/detail.php?sn=9850
「TalesWeaver」數碼戲胞7月封閉測試,0,0,2003-06-02T19:57:31+08:00,https://gnn.gamer.com.tw/detail.php?sn=9723
